reviewText,overall,product,sentiment,reviewTime,cleaned_text,processed_text,vader_compound,vader_pos,vader_neg,vader_neu,afinn_score,label
"Its fine, does what it says but there are better options available The performance is average.",3,tablet,neutral,2022-04-21,its fine does what it says but there are better options available the performance is average,fine say better option available performance average,0.6428,0.273,0.0,0.727,4.0,1
Super fast shipping and the product works exactly as advertised The design is excellent.,5,mouse,positive,2023-09-21,super fast shipping and the product works exactly as advertised the design is excellent,super fast shipping product work exactly advertised design excellent,0.8225,0.388,0.0,0.612,6.0,2
"Decent product for the price, some minor issues but overall acceptable The design is average.",3,headphones,neutral,2020-09-15,decent product for the price some minor issues but overall acceptable the design is average,decent product price minor issue overall acceptable design average,0.4497,0.174,0.0,0.826,1.0,1
"Average experience, product works but has some limitations The customer service is average.",3,laptop,neutral,2022-06-20,average experience product works but has some limitations the customer service is average,average experience product work limitation customer service average,0.0,0.0,0.0,1.0,0.0,1
"Outstanding quality and performance, very satisfied with this purchase The design is excellent.",4,smartphone,positive,2022-04-19,outstanding quality and performance very satisfied with this purchase the design is excellent,outstanding quality performance satisfied purchase design excellent,0.8955,0.519,0.0,0.481,12.0,2
"Decent product for the price, some minor issues but overall acceptable The screen quality is average.",3,speaker,neutral,2021-06-26,decent product for the price some minor issues but overall acceptable the screen quality is average,decent product price minor issue overall acceptable screen quality average,0.4497,0.164,0.0,0.836,3.0,1
"Disappointing purchase, arrived damaged and customer support unhelpful The performance is terrible.",1,keyboard,negative,2023-10-13,disappointing purchase arrived damaged and customer support unhelpful the performance is terrible,disappointing purchase arrived damaged customer support unhelpful performance terrible,-0.7579,0.136,0.462,0.402,-6.0,0
"Works as described, not amazing but not terrible either The customer service is average.",3,speaker,neutral,2023-01-13,works as described not amazing but not terrible either the customer service is average,work described not amazing not terrible either customer service average,0.3171,0.192,0.117,0.691,1.0,1
"Incredible product, works flawlessly and looks great too The screen quality is excellent.",4,charger,positive,2021-04-10,incredible product works flawlessly and looks great too the screen quality is excellent,incredible product work flawlessly look great screen quality excellent,0.8709,0.497,0.0,0.503,10.0,2
"Average quality, works as expected nothing more nothing less The performance is average.",3,laptop,neutral,2023-07-21,average quality works as expected nothing more nothing less the performance is average,average quality work expected nothing nothing less performance average,0.0,0.0,0.0,1.0,2.0,1
"Average quality, works as expected nothing more nothing less The design is average.",3,smartphone,neutral,2023-11-22,average quality works as expected nothing more nothing less the design is average,average quality work expected nothing nothing less design average,0.0,0.0,0.0,1.0,2.0,1
"Terrible product, stopped working after just two days of use The battery life is terrible.",2,headphones,negative,2021-08-23,terrible product stopped working after just two days of use the battery life is terrible,terrible product stopped working two day use battery life terrible,-0.7964,0.0,0.403,0.597,-7.0,0
"Not worth the price, cheap materials and poor construction overall The performance is terrible.",1,tablet,negative,2022-12-23,not worth the price cheap materials and poor construction overall the performance is terrible,not worth price cheap material poor construction overall performance terrible,-0.7824,0.0,0.417,0.583,-3.0,0
"Disappointing purchase, arrived damaged and customer support unhelpful The build quality is terrible.",1,smartphone,negative,2020-06-10,disappointing purchase arrived damaged and customer support unhelpful the build quality is terrible,disappointing purchase arrived damaged customer support unhelpful build quality terrible,-0.7579,0.129,0.44,0.431,-4.0,0
"Works as described, not amazing but not terrible either The price is average.",3,speaker,neutral,2023-04-09,works as described not amazing but not terrible either the price is average,work described not amazing not terrible either price average,0.3171,0.204,0.124,0.672,1.0,1
"Love this product, it works great and the quality is outstanding The design is excellent.",5,speaker,positive,2021-06-06,love this product it works great and the quality is outstanding the design is excellent,love product work great quality outstanding design excellent,0.9517,0.593,0.0,0.407,16.0,2
"Product is okay, nothing special but does the job adequately The design is average.",3,charger,neutral,2023-10-19,product is okay nothing special but does the job adequately the design is average,product okay nothing special job adequately design average,-0.0462,0.096,0.108,0.796,0.0,1
"Decent product for the price, some minor issues but overall acceptable The screen quality is average.",3,speaker,neutral,2021-12-08,decent product for the price some minor issues but overall acceptable the screen quality is average,decent product price minor issue overall acceptable screen quality average,0.4497,0.164,0.0,0.836,3.0,1
"Neither good nor bad, average product with average performance The performance is average.",3,charger,neutral,2022-07-24,neither good nor bad average product with average performance the performance is average,neither good nor bad average product average performance performance average,-0.5824,0.0,0.303,0.697,0.0,1
"Poor quality and bad customer service, would not recommend The performance is terrible.",2,laptop,negative,2021-04-30,poor quality and bad customer service would not recommend the performance is terrible,poor quality bad customer service would not recommend performance terrible,-0.8959,0.0,0.568,0.432,-4.0,0
"Disappointing purchase, arrived damaged and customer support unhelpful The customer service is terrible.",2,charger,negative,2020-02-14,disappointing purchase arrived damaged and customer support unhelpful the customer service is terrible,disappointing purchase arrived damaged customer support unhelpful customer service terrible,-0.7579,0.129,0.44,0.431,-6.0,0
"Works as described, not amazing but not terrible either The delivery is average.",3,headphones,neutral,2023-03-05,works as described not amazing but not terrible either the delivery is average,work described not amazing not terrible either delivery average,0.3171,0.204,0.124,0.672,1.0,1
"Product is okay, nothing special but does the job adequately The design is average.",3,charger,neutral,2021-04-16,product is okay nothing special but does the job adequately the design is average,product okay nothing special job adequately design average,-0.0462,0.096,0.108,0.796,0.0,1
"Acceptable quality, arrived on time and packaging was adequate The price is average.",3,tablet,neutral,2023-06-25,acceptable quality arrived on time and packaging was adequate the price is average,acceptable quality arrived time packaging adequate price average,0.4939,0.276,0.0,0.724,4.0,1
"Waste of money, does not work as described at all The screen quality is terrible.",1,charger,negative,2022-06-21,waste of money does not work as described at all the screen quality is terrible,waste money not work described screen quality terrible,-0.7096,0.0,0.312,0.688,-5.0,0
"Incredible product, works flawlessly and looks great too The customer service is excellent.",4,laptop,positive,2021-08-27,incredible product works flawlessly and looks great too the customer service is excellent,incredible product work flawlessly look great customer service excellent,0.8709,0.497,0.0,0.503,8.0,2
"Stopped working immediately, complete waste of money and time The build quality is terrible.",1,smartphone,negative,2023-01-09,stopped working immediately complete waste of money and time the build quality is terrible,stopped working immediately complete waste money time build quality terrible,-0.7783,0.0,0.415,0.585,-3.0,0
"Very bad quality, returned it immediately after opening the box The delivery is terrible.",1,charger,negative,2022-09-13,very bad quality returned it immediately after opening the box the delivery is terrible,bad quality returned immediately opening box delivery terrible,-0.7841,0.0,0.365,0.635,-4.0,0
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",2,laptop,negative,2020-10-15,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Amazing value for money, will definitely buy again from this seller The customer service is excellent.",4,mouse,positive,2020-01-29,amazing value for money will definitely buy again from this seller the customer service is excellent,amazing value money definitely buy seller customer service excellent,0.9118,0.512,0.0,0.488,7.0,2
"Very bad quality, returned it immediately after opening the box The screen quality is terrible.",2,keyboard,negative,2023-10-09,very bad quality returned it immediately after opening the box the screen quality is terrible,bad quality returned immediately opening box screen quality terrible,-0.7841,0.0,0.347,0.653,-2.0,0
"Neither good nor bad, average product with average performance The performance is average.",3,keyboard,neutral,2020-08-09,neither good nor bad average product with average performance the performance is average,neither good nor bad average product average performance performance average,-0.5824,0.0,0.303,0.697,0.0,1
"Its fine, does what it says but there are better options available The design is average.",3,headphones,neutral,2023-06-22,its fine does what it says but there are better options available the design is average,fine say better option available design average,0.6428,0.273,0.0,0.727,4.0,1
"Acceptable quality, arrived on time and packaging was adequate The price is average.",3,laptop,neutral,2023-07-25,acceptable quality arrived on time and packaging was adequate the price is average,acceptable quality arrived time packaging adequate price average,0.4939,0.276,0.0,0.724,4.0,1
"Broke after one week, very frustrating and disappointing experience The performance is terrible.",1,smartphone,negative,2020-04-02,broke after one week very frustrating and disappointing experience the performance is terrible,broke one week frustrating disappointing experience performance terrible,-0.911,0.0,0.582,0.418,-8.0,0
"Best purchase I have made this year, highly recommend to everyone The design is excellent.",4,laptop,positive,2021-04-25,best purchase i have made this year highly recommend to everyone the design is excellent,best purchase made year highly recommend everyone design excellent,0.8932,0.471,0.0,0.529,8.0,2
"Decent product for the price, some minor issues but overall acceptable The performance is average.",3,speaker,neutral,2022-01-29,decent product for the price some minor issues but overall acceptable the performance is average,decent product price minor issue overall acceptable performance average,0.4497,0.174,0.0,0.826,1.0,1
"Its okay, has some good points and some bad points overall The performance is average.",3,monitor,neutral,2020-11-12,its okay has some good points and some bad points overall the performance is average,okay good point bad point overall performance average,0.0772,0.236,0.172,0.591,0.0,1
"Very disappointed with the quality, feels cheap and breaks easily The design is terrible.",2,charger,negative,2020-03-08,very disappointed with the quality feels cheap and breaks easily the design is terrible,disappointed quality feel cheap break easily design terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Acceptable quality, arrived on time and packaging was adequate The price is average.",3,speaker,neutral,2022-06-29,acceptable quality arrived on time and packaging was adequate the price is average,acceptable quality arrived time packaging adequate price average,0.4939,0.276,0.0,0.724,4.0,1
Super fast shipping and the product works exactly as advertised The screen quality is excellent.,5,camera,positive,2023-08-13,super fast shipping and the product works exactly as advertised the screen quality is excellent,super fast shipping product work exactly advertised screen quality excellent,0.8225,0.369,0.0,0.631,8.0,2
"Terrible product, stopped working after just two days of use The performance is terrible.",2,tablet,negative,2020-09-07,terrible product stopped working after just two days of use the performance is terrible,terrible product stopped working two day use performance terrible,-0.7964,0.0,0.424,0.576,-7.0,0
"Very disappointed with the quality, feels cheap and breaks easily The price is terrible.",1,headphones,negative,2021-11-14,very disappointed with the quality feels cheap and breaks easily the price is terrible,disappointed quality feel cheap break easily price terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Excellent build quality, fast delivery and works as described The price is excellent.",4,camera,positive,2021-02-28,excellent build quality fast delivery and works as described the price is excellent,excellent build quality fast delivery work described price excellent,0.8126,0.402,0.0,0.598,8.0,2
"Its fine, does what it says but there are better options available The price is average.",3,keyboard,neutral,2020-10-29,its fine does what it says but there are better options available the price is average,fine say better option available price average,0.6428,0.273,0.0,0.727,4.0,1
"Product is okay, nothing special but does the job adequately The delivery is average.",3,smartphone,neutral,2020-09-23,product is okay nothing special but does the job adequately the delivery is average,product okay nothing special job adequately delivery average,-0.0462,0.096,0.108,0.796,0.0,1
"Neither good nor bad, average product with average performance The build quality is average.",3,laptop,neutral,2023-09-15,neither good nor bad average product with average performance the build quality is average,neither good nor bad average product average performance build quality average,-0.5824,0.0,0.285,0.715,2.0,1
"Excellent build quality, fast delivery and works as described The battery life is excellent.",5,tablet,positive,2023-04-20,excellent build quality fast delivery and works as described the battery life is excellent,excellent build quality fast delivery work described battery life excellent,0.8126,0.381,0.0,0.619,8.0,2
"Terrible product, stopped working after just two days of use The build quality is terrible.",2,headphones,negative,2020-09-16,terrible product stopped working after just two days of use the build quality is terrible,terrible product stopped working two day use build quality terrible,-0.7964,0.0,0.403,0.597,-5.0,0
"Works as described, not amazing but not terrible either The screen quality is average.",3,laptop,neutral,2022-09-02,works as described not amazing but not terrible either the screen quality is average,work described not amazing not terrible either screen quality average,0.3171,0.192,0.117,0.691,3.0,1
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",2,camera,negative,2021-03-29,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Product is okay, nothing special but does the job adequately The delivery is average.",3,speaker,neutral,2023-08-10,product is okay nothing special but does the job adequately the delivery is average,product okay nothing special job adequately delivery average,-0.0462,0.096,0.108,0.796,0.0,1
"This product is absolutely amazing, works perfectly and exceeded my expectations The design is excellent.",5,mouse,positive,2023-11-06,this product is absolutely amazing works perfectly and exceeded my expectations the design is excellent,product absolutely amazing work perfectly exceeded expectation design excellent,0.9225,0.505,0.0,0.495,10.0,2
"Perfect product, exactly what I needed and arrived quickly The design is excellent.",4,laptop,positive,2021-10-21,perfect product exactly what i needed and arrived quickly the design is excellent,perfect product exactly needed arrived quickly design excellent,0.8126,0.402,0.0,0.598,6.0,2
"Decent product for the price, some minor issues but overall acceptable The screen quality is average.",3,smartphone,neutral,2021-07-17,decent product for the price some minor issues but overall acceptable the screen quality is average,decent product price minor issue overall acceptable screen quality average,0.4497,0.164,0.0,0.836,3.0,1
"Average experience, product works but has some limitations The customer service is average.",3,mouse,neutral,2023-05-08,average experience product works but has some limitations the customer service is average,average experience product work limitation customer service average,0.0,0.0,0.0,1.0,0.0,1
"Neither good nor bad, average product with average performance The design is average.",3,camera,neutral,2023-05-24,neither good nor bad average product with average performance the design is average,neither good nor bad average product average performance design average,-0.5824,0.0,0.303,0.697,0.0,1
"Very disappointed with the quality, feels cheap and breaks easily The screen quality is terrible.",1,mouse,negative,2022-07-13,very disappointed with the quality feels cheap and breaks easily the screen quality is terrible,disappointed quality feel cheap break easily screen quality terrible,-0.624,0.115,0.311,0.574,-1.0,0
"Amazing value for money, will definitely buy again from this seller The customer service is excellent.",5,mouse,positive,2022-05-01,amazing value for money will definitely buy again from this seller the customer service is excellent,amazing value money definitely buy seller customer service excellent,0.9118,0.512,0.0,0.488,7.0,2
"Average quality, works as expected nothing more nothing less The customer service is average.",3,mouse,neutral,2021-10-02,average quality works as expected nothing more nothing less the customer service is average,average quality work expected nothing nothing less customer service average,0.0,0.0,0.0,1.0,2.0,1
"Neither good nor bad, average product with average performance The customer service is average.",3,smartphone,neutral,2023-11-07,neither good nor bad average product with average performance the customer service is average,neither good nor bad average product average performance customer service average,-0.5824,0.0,0.285,0.715,0.0,1
"Very disappointed with the quality, feels cheap and breaks easily The screen quality is terrible.",1,laptop,negative,2022-06-03,very disappointed with the quality feels cheap and breaks easily the screen quality is terrible,disappointed quality feel cheap break easily screen quality terrible,-0.624,0.115,0.311,0.574,-1.0,0
Super fast shipping and the product works exactly as advertised The build quality is excellent.,4,monitor,positive,2023-02-24,super fast shipping and the product works exactly as advertised the build quality is excellent,super fast shipping product work exactly advertised build quality excellent,0.8225,0.369,0.0,0.631,8.0,2
"Acceptable quality, arrived on time and packaging was adequate The screen quality is average.",3,mouse,neutral,2021-12-25,acceptable quality arrived on time and packaging was adequate the screen quality is average,acceptable quality arrived time packaging adequate screen quality average,0.4939,0.259,0.0,0.741,6.0,1
"Works as described, not amazing but not terrible either The battery life is average.",3,charger,neutral,2023-05-14,works as described not amazing but not terrible either the battery life is average,work described not amazing not terrible either battery life average,0.3171,0.192,0.117,0.691,1.0,1
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",1,smartphone,negative,2023-09-06,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Poor quality and bad customer service, would not recommend The screen quality is terrible.",2,camera,negative,2022-01-22,poor quality and bad customer service would not recommend the screen quality is terrible,poor quality bad customer service would not recommend screen quality terrible,-0.8959,0.0,0.541,0.459,-2.0,0
"Best purchase I have made this year, highly recommend to everyone The price is excellent.",5,camera,positive,2023-06-27,best purchase i have made this year highly recommend to everyone the price is excellent,best purchase made year highly recommend everyone price excellent,0.8932,0.471,0.0,0.529,8.0,2
"Its okay, has some good points and some bad points overall The battery life is average.",3,monitor,neutral,2023-09-09,its okay has some good points and some bad points overall the battery life is average,okay good point bad point overall battery life average,0.0772,0.225,0.164,0.61,0.0,1
"Neither good nor bad, average product with average performance The battery life is average.",3,smartphone,neutral,2021-07-13,neither good nor bad average product with average performance the battery life is average,neither good nor bad average product average performance battery life average,-0.5824,0.0,0.285,0.715,0.0,1
"Neither good nor bad, average product with average performance The customer service is average.",3,keyboard,neutral,2020-01-13,neither good nor bad average product with average performance the customer service is average,neither good nor bad average product average performance customer service average,-0.5824,0.0,0.285,0.715,0.0,1
"Excellent build quality, fast delivery and works as described The performance is excellent.",4,smartphone,positive,2023-07-20,excellent build quality fast delivery and works as described the performance is excellent,excellent build quality fast delivery work described performance excellent,0.8126,0.402,0.0,0.598,8.0,2
"Great quality for the price, very happy with my purchase The price is excellent.",5,mouse,positive,2022-07-18,great quality for the price very happy with my purchase the price is excellent,great quality price happy purchase price excellent,0.9152,0.517,0.0,0.483,11.0,2
"Waste of money, does not work as described at all The customer service is terrible.",2,keyboard,negative,2023-03-08,waste of money does not work as described at all the customer service is terrible,waste money not work described customer service terrible,-0.7096,0.0,0.312,0.688,-7.0,0
"Average quality, works as expected nothing more nothing less The battery life is average.",3,smartphone,neutral,2020-11-18,average quality works as expected nothing more nothing less the battery life is average,average quality work expected nothing nothing less battery life average,0.0,0.0,0.0,1.0,2.0,1
"Product is okay, nothing special but does the job adequately The screen quality is average.",3,charger,neutral,2022-06-26,product is okay nothing special but does the job adequately the screen quality is average,product okay nothing special job adequately screen quality average,-0.0462,0.09,0.101,0.809,2.0,1
"Works as described, not amazing but not terrible either The design is average.",3,monitor,neutral,2022-06-24,works as described not amazing but not terrible either the design is average,work described not amazing not terrible either design average,0.3171,0.204,0.124,0.672,1.0,1
"Broke after one week, very frustrating and disappointing experience The price is terrible.",1,keyboard,negative,2022-05-30,broke after one week very frustrating and disappointing experience the price is terrible,broke one week frustrating disappointing experience price terrible,-0.911,0.0,0.582,0.418,-8.0,0
"Best purchase I have made this year, highly recommend to everyone The design is excellent.",5,headphones,positive,2021-03-27,best purchase i have made this year highly recommend to everyone the design is excellent,best purchase made year highly recommend everyone design excellent,0.8932,0.471,0.0,0.529,8.0,2
"Disappointing purchase, arrived damaged and customer support unhelpful The battery life is terrible.",1,tablet,negative,2021-09-09,disappointing purchase arrived damaged and customer support unhelpful the battery life is terrible,disappointing purchase arrived damaged customer support unhelpful battery life terrible,-0.7579,0.129,0.44,0.431,-6.0,0
"Excellent build quality, fast delivery and works as described The delivery is excellent.",5,keyboard,positive,2020-09-02,excellent build quality fast delivery and works as described the delivery is excellent,excellent build quality fast delivery work described delivery excellent,0.8126,0.402,0.0,0.598,8.0,2
"Perfect product, exactly what I needed and arrived quickly The performance is excellent.",4,smartphone,positive,2022-02-17,perfect product exactly what i needed and arrived quickly the performance is excellent,perfect product exactly needed arrived quickly performance excellent,0.8126,0.402,0.0,0.598,6.0,2
"Its fine, does what it says but there are better options available The customer service is average.",3,laptop,neutral,2022-03-24,its fine does what it says but there are better options available the customer service is average,fine say better option available customer service average,0.6428,0.259,0.0,0.741,4.0,1
"Product is okay, nothing special but does the job adequately The performance is average.",3,headphones,neutral,2022-07-30,product is okay nothing special but does the job adequately the performance is average,product okay nothing special job adequately performance average,-0.0462,0.096,0.108,0.796,0.0,1
Super fast shipping and the product works exactly as advertised The performance is excellent.,5,mouse,positive,2021-08-15,super fast shipping and the product works exactly as advertised the performance is excellent,super fast shipping product work exactly advertised performance excellent,0.8225,0.388,0.0,0.612,6.0,2
"Amazing value for money, will definitely buy again from this seller The battery life is excellent.",5,smartphone,positive,2023-06-19,amazing value for money will definitely buy again from this seller the battery life is excellent,amazing value money definitely buy seller battery life excellent,0.9118,0.512,0.0,0.488,7.0,2
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",2,laptop,negative,2021-05-13,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Disappointing purchase, arrived damaged and customer support unhelpful The performance is terrible.",1,mouse,negative,2021-09-27,disappointing purchase arrived damaged and customer support unhelpful the performance is terrible,disappointing purchase arrived damaged customer support unhelpful performance terrible,-0.7579,0.136,0.462,0.402,-6.0,0
"Acceptable quality, arrived on time and packaging was adequate The price is average.",3,keyboard,neutral,2020-12-10,acceptable quality arrived on time and packaging was adequate the price is average,acceptable quality arrived time packaging adequate price average,0.4939,0.276,0.0,0.724,4.0,1
"Outstanding quality and performance, very satisfied with this purchase The screen quality is excellent.",4,keyboard,positive,2021-12-20,outstanding quality and performance very satisfied with this purchase the screen quality is excellent,outstanding quality performance satisfied purchase screen quality excellent,0.8955,0.495,0.0,0.505,14.0,2
"Decent product for the price, some minor issues but overall acceptable The price is average.",3,laptop,neutral,2020-10-26,decent product for the price some minor issues but overall acceptable the price is average,decent product price minor issue overall acceptable price average,0.4497,0.174,0.0,0.826,1.0,1
"Poor quality and bad customer service, would not recommend The build quality is terrible.",1,laptop,negative,2020-12-28,poor quality and bad customer service would not recommend the build quality is terrible,poor quality bad customer service would not recommend build quality terrible,-0.8959,0.0,0.541,0.459,-2.0,0
"Mediocre product, expected better quality for the price paid The design is average.",3,monitor,neutral,2023-04-01,mediocre product expected better quality for the price paid the design is average,mediocre product expected better quality price paid design average,0.4404,0.195,0.0,0.805,4.0,1
"Disappointing purchase, arrived damaged and customer support unhelpful The customer service is terrible.",2,smartphone,negative,2022-06-19,disappointing purchase arrived damaged and customer support unhelpful the customer service is terrible,disappointing purchase arrived damaged customer support unhelpful customer service terrible,-0.7579,0.129,0.44,0.431,-6.0,0
"Perfect product, exactly what I needed and arrived quickly The design is excellent.",5,charger,positive,2023-04-26,perfect product exactly what i needed and arrived quickly the design is excellent,perfect product exactly needed arrived quickly design excellent,0.8126,0.402,0.0,0.598,6.0,2
Super fast shipping and the product works exactly as advertised The screen quality is excellent.,5,speaker,positive,2022-07-14,super fast shipping and the product works exactly as advertised the screen quality is excellent,super fast shipping product work exactly advertised screen quality excellent,0.8225,0.369,0.0,0.631,8.0,2
"This product is absolutely amazing, works perfectly and exceeded my expectations The customer service is excellent.",5,laptop,positive,2023-08-13,this product is absolutely amazing works perfectly and exceeded my expectations the customer service is excellent,product absolutely amazing work perfectly exceeded expectation customer service excellent,0.9225,0.485,0.0,0.515,10.0,2
"Incredible product, works flawlessly and looks great too The performance is excellent.",5,monitor,positive,2023-02-09,incredible product works flawlessly and looks great too the performance is excellent,incredible product work flawlessly look great performance excellent,0.8709,0.523,0.0,0.477,8.0,2
"Product is okay, nothing special but does the job adequately The design is average.",3,monitor,neutral,2023-08-27,product is okay nothing special but does the job adequately the design is average,product okay nothing special job adequately design average,-0.0462,0.096,0.108,0.796,0.0,1
Super fast shipping and the product works exactly as advertised The design is excellent.,4,headphones,positive,2022-07-11,super fast shipping and the product works exactly as advertised the design is excellent,super fast shipping product work exactly advertised design excellent,0.8225,0.388,0.0,0.612,6.0,2
Super fast shipping and the product works exactly as advertised The screen quality is excellent.,4,headphones,positive,2021-05-22,super fast shipping and the product works exactly as advertised the screen quality is excellent,super fast shipping product work exactly advertised screen quality excellent,0.8225,0.369,0.0,0.631,8.0,2
"Mediocre product, expected better quality for the price paid The design is average.",3,camera,neutral,2022-12-06,mediocre product expected better quality for the price paid the design is average,mediocre product expected better quality price paid design average,0.4404,0.195,0.0,0.805,4.0,1
"Decent product for the price, some minor issues but overall acceptable The customer service is average.",3,keyboard,neutral,2021-08-02,decent product for the price some minor issues but overall acceptable the customer service is average,decent product price minor issue overall acceptable customer service average,0.4497,0.164,0.0,0.836,1.0,1
"Stopped working immediately, complete waste of money and time The customer service is terrible.",1,keyboard,negative,2020-05-14,stopped working immediately complete waste of money and time the customer service is terrible,stopped working immediately complete waste money time customer service terrible,-0.7783,0.0,0.415,0.585,-5.0,0
"Very disappointed with the quality, feels cheap and breaks easily The performance is terrible.",2,charger,negative,2023-09-06,very disappointed with the quality feels cheap and breaks easily the performance is terrible,disappointed quality feel cheap break easily performance terrible,-0.624,0.121,0.326,0.553,-3.0,0
"Decent product for the price, some minor issues but overall acceptable The customer service is average.",3,laptop,neutral,2023-04-08,decent product for the price some minor issues but overall acceptable the customer service is average,decent product price minor issue overall acceptable customer service average,0.4497,0.164,0.0,0.836,1.0,1
"Decent product for the price, some minor issues but overall acceptable The customer service is average.",3,charger,neutral,2023-09-05,decent product for the price some minor issues but overall acceptable the customer service is average,decent product price minor issue overall acceptable customer service average,0.4497,0.164,0.0,0.836,1.0,1
"Works as described, not amazing but not terrible either The build quality is average.",3,monitor,neutral,2023-12-22,works as described not amazing but not terrible either the build quality is average,work described not amazing not terrible either build quality average,0.3171,0.192,0.117,0.691,3.0,1
"Best purchase I have made this year, highly recommend to everyone The performance is excellent.",5,smartphone,positive,2023-10-04,best purchase i have made this year highly recommend to everyone the performance is excellent,best purchase made year highly recommend everyone performance excellent,0.8932,0.471,0.0,0.529,8.0,2
"Its okay, has some good points and some bad points overall The screen quality is average.",3,mouse,neutral,2022-11-07,its okay has some good points and some bad points overall the screen quality is average,okay good point bad point overall screen quality average,0.0772,0.225,0.164,0.61,2.0,1
"Terrible product, stopped working after just two days of use The customer service is terrible.",2,smartphone,negative,2021-03-14,terrible product stopped working after just two days of use the customer service is terrible,terrible product stopped working two day use customer service terrible,-0.7964,0.0,0.403,0.597,-7.0,0
"Horrible product, nothing like the description or photos shown The price is terrible.",1,smartphone,negative,2020-11-13,horrible product nothing like the description or photos shown the price is terrible,horrible product nothing like description photo shown price terrible,-0.8276,0.0,0.466,0.534,-4.0,0
"Best purchase I have made this year, highly recommend to everyone The screen quality is excellent.",4,keyboard,positive,2023-06-19,best purchase i have made this year highly recommend to everyone the screen quality is excellent,best purchase made year highly recommend everyone screen quality excellent,0.8932,0.451,0.0,0.549,10.0,2
"Incredible product, works flawlessly and looks great too The performance is excellent.",4,smartphone,positive,2021-01-05,incredible product works flawlessly and looks great too the performance is excellent,incredible product work flawlessly look great performance excellent,0.8709,0.523,0.0,0.477,8.0,2
"Average experience, product works but has some limitations The build quality is average.",3,speaker,neutral,2020-03-30,average experience product works but has some limitations the build quality is average,average experience product work limitation build quality average,0.0,0.0,0.0,1.0,2.0,1
"Not worth the price, cheap materials and poor construction overall The price is terrible.",2,monitor,negative,2021-08-06,not worth the price cheap materials and poor construction overall the price is terrible,not worth price cheap material poor construction overall price terrible,-0.7824,0.0,0.417,0.583,-3.0,0
"Mediocre product, expected better quality for the price paid The price is average.",3,camera,neutral,2021-05-04,mediocre product expected better quality for the price paid the price is average,mediocre product expected better quality price paid price average,0.4404,0.195,0.0,0.805,4.0,1
"Horrible product, nothing like the description or photos shown The price is terrible.",2,monitor,negative,2022-06-21,horrible product nothing like the description or photos shown the price is terrible,horrible product nothing like description photo shown price terrible,-0.8276,0.0,0.466,0.534,-4.0,0
"Broke after one week, very frustrating and disappointing experience The performance is terrible.",2,smartphone,negative,2021-02-12,broke after one week very frustrating and disappointing experience the performance is terrible,broke one week frustrating disappointing experience performance terrible,-0.911,0.0,0.582,0.418,-8.0,0
"Decent product for the price, some minor issues but overall acceptable The delivery is average.",3,headphones,neutral,2023-08-06,decent product for the price some minor issues but overall acceptable the delivery is average,decent product price minor issue overall acceptable delivery average,0.4497,0.174,0.0,0.826,1.0,1
"Not worth the price, cheap materials and poor construction overall The screen quality is terrible.",1,charger,negative,2020-06-20,not worth the price cheap materials and poor construction overall the screen quality is terrible,not worth price cheap material poor construction overall screen quality terrible,-0.7824,0.0,0.396,0.604,-1.0,0
"Best purchase I have made this year, highly recommend to everyone The design is excellent.",4,mouse,positive,2020-07-06,best purchase i have made this year highly recommend to everyone the design is excellent,best purchase made year highly recommend everyone design excellent,0.8932,0.471,0.0,0.529,8.0,2
"Perfect product, exactly what I needed and arrived quickly The customer service is excellent.",4,mouse,positive,2020-04-19,perfect product exactly what i needed and arrived quickly the customer service is excellent,perfect product exactly needed arrived quickly customer service excellent,0.8126,0.381,0.0,0.619,6.0,2
"Very bad quality, returned it immediately after opening the box The customer service is terrible.",1,mouse,negative,2020-06-16,very bad quality returned it immediately after opening the box the customer service is terrible,bad quality returned immediately opening box customer service terrible,-0.7841,0.0,0.347,0.653,-4.0,0
"Poor quality and bad customer service, would not recommend The battery life is terrible.",2,laptop,negative,2023-08-24,poor quality and bad customer service would not recommend the battery life is terrible,poor quality bad customer service would not recommend battery life terrible,-0.8959,0.0,0.541,0.459,-4.0,0
"Waste of money, does not work as described at all The build quality is terrible.",1,charger,negative,2022-08-25,waste of money does not work as described at all the build quality is terrible,waste money not work described build quality terrible,-0.7096,0.0,0.312,0.688,-5.0,0
